id,Apellido,Nombre,Distrito,Género,Sexo,Bloque,Interbloque,Voto
001,Abdala De Matarazzo,Norma Amanda,Santiago Del Estero,M,Mujer,FRENTE CIVICO POR SANTIAGO,Frente Civico Por Santiago,Afirmativo
002,Acerenza,Samanta Maria Celeste,Buenos Aires,M,Mujer,PRO,Cambiemos,Afirmativo
003,Aicega,Juan,Buenos Aires,H,Hombre,PRO,Cambiemos,Negativo
004,Allende,Walberto Enrique,San Juan,H,Hombre,TODOS JUNTOS POR SAN JUAN,Argentina Federal,Afirmativo
005,Alonso,Laura V.,Buenos Aires,M,Mujer,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Negativo
006,Alume Sbodio,Karim Augusto,San Luis,H,Hombre,UNIDAD JUSTICIALISTA,Unidad Justicialista,Negativo
007,Alvarez Rodriguez,Maria Cristina,Buenos Aires,M,Mujer,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Afirmativo
008,Amadeo,Eduardo Pablo,Buenos Aires,H,Hombre,PRO,Cambiemos,Negativo
009,Ansaloni,Pablo Miguel,Buenos Aires,H,Hombre,PRO,Cambiemos,Ausente
010,Arce,Mario Horacio,Formosa,H,Hombre,UCR,Cambiemos,Afirmativo
011,Arroyo,Daniel Fernando,Buenos Aires,H,Hombre,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,Renovador UNA,Negativo
012,Asencio,Fernando,Buenos Aires,H,Hombre,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,Renovador UNA,Negativo
013,Austin,Brenda Lis,Cordoba,M,Mujer,UCR,Cambiemos,Afirmativo
014,Avila,Beatriz Luisa,Tucuman,M,Mujer,PARTIDO POR LA JUSTICIA SOCIAL,Cambiemos,Afirmativo
015,Ayala,Aida Beatriz Maxima,Chaco,M,Mujer,UCR,Cambiemos,Negativo
016,Bahillo,Juan Jose,Entre Rios,H,Hombre,JUSTICIALISTA,Argentina Federal,Afirmativo
017,Baldassi,Hector,Cordoba,H,Hombre,PRO,Cambiemos,Afirmativo
018,Banfi,Karina,Buenos Aires,M,Mujer,UCR,Cambiemos,Afirmativo
019,Basterra,Luis Eugenio,Formosa,H,Hombre,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Negativo
020,Bazze,Miguel Angel,Buenos Aires,H,Hombre,UCR,Cambiemos,Afirmativo
021,Benedetti,Atilio Francisco Salvador,Entre Rios,H,Hombre,UCR,Cambiemos,Negativo
022,Berisso,Hernan,Buenos Aires,H,Hombre,PRO,Cambiemos,Negativo
023,Bevilacqua,Gustavo,Buenos Aires,H,Hombre,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,Renovador UNA,Negativo
024,Bianchi,Ivana Maria,San Luis,M,Mujer,UNIDAD JUSTICIALISTA,Unidad Justicialista,Negativo
025,Borsani,Luis Gustavo,Mendoza,H,Hombre,UCR,Cambiemos,Negativo
026,Bossio,Diego Luis,Buenos Aires,H,Hombre,JUSTICIALISTA,Argentina Federal,Negativo
