"senador","fuerza","partidoBloque","provincia","voto"
"ALFONSIN. Ricardo","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"BANFI. Karina","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"BAZZE. Miguel Ángel","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"ECHEGARAY. Alejandro","CAMBIEMOS","Unión Cívica Radical","Senador","NEGATIVO"
"GUTIERREZ. Héctor María","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"ACERENZA. Samanta","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"AMADEO. Eduardo Pablo","CAMBIEMOS","Unión PRO","Senador","NEGATIVO"
"BUIL. Sergio Omar","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"GONZALEZ. Gladys Esther","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"LIPOVETZKY. Daniel","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"LOSPENNATO. Silvia Gabriela","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"MARTINEZ. Soledad","FPV_y_aliados","Unión PRO","Senador","NEGATIVO"
"TORELLO. Pablo","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"URROZ. Paula","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"WOLFF. Waldo","FPV_y_aliados","Unión PRO","Senador","AFIRMATIVO"
"BRIZUELA DEL MORAL. Eduardo Segundo","CAMBIEMOS","Fte. Cívico y Social de Catamarca","Senador","AFIRMATIVO"
"JUAREZ. Myrian del Valle","CAMBIEMOS","Fte. Cívico y Social de Catamarca","Senador","AFIRMATIVO"
"QUINTAR. Amado David","CAMBIEMOS","Fte. Cívico y Social de Catamarca","Senador","AFIRMATIVO"
"CARRIO. Elisa María Avelina","FPV_y_aliados","Coalición Cívica","Senador","AFIRMATIVO"
"SANCHEZ. Fernando","CAMBIEMOS","Coalición Cívica","Senador","AFIRMATIVO"
"CARRIZO. Ana Carla","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"BESADA. Alicia Irma","CAMBIEMOS","Unión PRO","Senador","NEGATIVO"
"CONESA. Eduardo Raúl","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"GONZALEZ. Alvaro Gustavo","FPV_y_aliados","Unión PRO","Senador","ABSTENCION"
"HERS CABRAL. Anabella Ruth","FPV_y_aliados","Unión PRO","Senador","AFIRMATIVO"
"LOPARDO. María Paula","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"PATIÑO. José Luis","CAMBIEMOS","Unión PRO","Senador","ABSTENCION"
"SCHMIDT-LIERMANN. Cornelia","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"SORGENTE. Marcelo","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"TONELLI. Pablo Gabriel","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"VILLALONGA. Juan Carlos","FPV_y_aliados","Unión PRO","Senador","AFIRMATIVO"
"WECHSLER. Marcelo","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"TERADA. Alicia","CAMBIEMOS","Coalición Cívica","Senador","AFIRMATIVO"
"GOICOECHEA. Gustavo Horacio","FPV_y_aliados","Unión Cívica Radical","Senador","AFIRMATIVO"
"MARTINEZ VILLADA. Leonor","CAMBIEMOS","Coalición Cívica","Senador","AFIRMATIVO"
"BELLOCQ. Gerardo Alberto","CAMBIEMOS","Unión Cívica Radical","Senador","ABSTENCION"
"CARRIZO. María Soledad","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"MESTRE. Diego Matías","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"NEGRI. Mario Raúl","FPV_y_aliados","Unión Cívica Radical","Senador","ABSTENCION"
