senador,fuerza,partidoBloque,provincia,voto
ALFONSIN. Ricardo,CAMBIEMOS,Unión Cívica Radical,Buenos Aires,AFIRMATIVO
CARRIZO. Ana Carla,CAMBIEMOS,Unión Cívica Radical,Cdad. Aut. Bs. As.,AFIRMATIVO
BESADA. Alicia Irma,CAMBIEMOS,Unión PRO,Cdad. Aut. Bs. As.,AFIRMATIVO
CONESA. Eduardo Raúl,CAMBIEMOS,Unión PRO,Cdad. Aut. Bs. As.,AFIRMATIVO
GONZALEZ. Alvaro Gustavo,CAMBIEMOS,Unión PRO,Cdad. Aut. Bs. As.,AFIRMATIVO
HERS CABRAL. Anabella Ruth,CAMBIEMOS,Unión PRO,Cdad. Aut. Bs. As.,AFIRMATIVO
LOPARDO. María Paula,CAMBIEMOS,Unión PRO,Cdad. Aut. Bs. As.,AFIRMATIVO
PATIÑO. José Luis,CAMBIEMOS,Unión PRO,Cdad. Aut. Bs. As.,AFIRMATIVO
SCHMIDT-LIERMANN. Cornelia,CAMBIEMOS,Unión PRO,Cdad. Aut. Bs. As.,AFIRMATIVO
SORGENTE. Marcelo,CAMBIEMOS,Unión PRO,Cdad. Aut. Bs. As.,AFIRMATIVO
TONELLI. Pablo Gabriel,CAMBIEMOS,Unión PRO,Cdad. Aut. Bs. As.,AFIRMATIVO
VILLALONGA. Juan Carlos,CAMBIEMOS,Unión PRO,Cdad. Aut. Bs. As.,AFIRMATIVO
WECHSLER. Marcelo,CAMBIEMOS,Unión PRO,Cdad. Aut. Bs. As.,AFIRMATIVO
TERADA. Alicia,CAMBIEMOS,Coalición Cívica,Chaco,AFIRMATIVO
HERNANDEZ. Martín,CAMBIEMOS,Unión Cívica Radical,Formosa,AFIRMATIVO
ALBORNOZ. Gabriela Romina,CAMBIEMOS,Unión Cívica Radical,Jujuy,AFIRMATIVO
BURGOS. María Gabriela,CAMBIEMOS,Unión Cívica Radical,Jujuy,AFIRMATIVO
MARTINEZ. Silvia Alejandra,CAMBIEMOS,Unión Cívica Radical,Jujuy,AFIRMATIVO
KRONEBERGER. Daniel Ricardo,CAMBIEMOS,Unión Cívica Radical,La Pampa,AFIRMATIVO
TORROBA. Francisco Javier,CAMBIEMOS,Unión Cívica Radical,La Pampa,AFIRMATIVO
MAQUIEYRA. Martín,CAMBIEMOS,Unión PRO,La Pampa,AFIRMATIVO
OLIVARES. Héctor Enrique,CAMBIEMOS,Unión Cívica Radical,La Rioja,AFIRMATIVO
VEGA. María Clara,CAMBIEMOS,Unión Cívica Radical,La Rioja,AFIRMATIVO
