"senador","fuerza","partidoBloque","provincia","voto"
"ALFONSIN. Ricardo","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"BANFI. Karina","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"BAZZE. Miguel Ángel","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"ECHEGARAY. Alejandro","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"GUTIERREZ. Héctor María","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"ACERENZA. Samanta","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"AMADEO. Eduardo Pablo","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"BUIL. Sergio Omar","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"GONZALEZ. Gladys Esther","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"LIPOVETZKY. Daniel","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"LOSPENNATO. Silvia Gabriela","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"MARTINEZ. Soledad","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"TORELLO. Pablo","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"URROZ. Paula","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"WOLFF. Waldo","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"BRIZUELA DEL MORAL. Eduardo Segundo","CAMBIEMOS","Fte. Cívico y Social de Catamarca","Senador","AFIRMATIVO"
"JUAREZ. Myrian del Valle","CAMBIEMOS","Fte. Cívico y Social de Catamarca","Senador","AFIRMATIVO"
"QUINTAR. Amado David","CAMBIEMOS","Fte. Cívico y Social de Catamarca","Senador","AFIRMATIVO"
"CARRIO. Elisa María Avelina","CAMBIEMOS","Coalición Cívica","Senador","AFIRMATIVO"
"SANCHEZ. Fernando","CAMBIEMOS","Coalición Cívica","Senador","AFIRMATIVO"
"CARRIZO. Ana Carla","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"BESADA. Alicia Irma","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"CONESA. Eduardo Raúl","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"GONZALEZ. Alvaro Gustavo","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"HERS CABRAL. Anabella Ruth","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"LOPARDO. María Paula","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"PATIÑO. José Luis","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"SCHMIDT-LIERMANN. Cornelia","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"SORGENTE. Marcelo","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"TONELLI. Pablo Gabriel","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"VILLALONGA. Juan Carlos","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"WECHSLER. Marcelo","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"TERADA. Alicia","CAMBIEMOS","Coalición Cívica","Senador","AFIRMATIVO"
"GOICOECHEA. Gustavo Horacio","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"MARTINEZ VILLADA. Leonor","CAMBIEMOS","Coalición Cívica","Senador","AFIRMATIVO"
"BELLOCQ. Gerardo Alberto","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"CARRIZO. María Soledad","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"MESTRE. Diego Matías","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"NEGRI. Mario Raúl","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
